Name,Location,Acceptance Rate
University of Kentucky,"Lexington, KY",86%
University of New Hampshire,"Durham, NH",86%
University of Oregon,"Eugene, OR",86%
University of St. Thomas (MN),"St. Paul, MN",86%
Andrews University,"Berrien Springs, MI",85%
Bethel University (MN),"St. Paul, MN",85%
Bradley University,"Peoria, IL",85%
DePaul University,"Chicago, IL",85%
Duquesne University,"Pittsburgh, PA",85%
Lipscomb University,"Nashville, TN",85%
Louisiana State University--Baton Rouge,"Baton Rouge, LA",85%
Loyola University Chicago,"Chicago, IL",85%
Rutgers University--Newark,"Newark, NJ",85%
Temple University,"Philadelphia, PA",85%
University at Buffalo--SUNY,"Buffalo, NY",85%
University of Kansas,"Lawrence, KS",85%
University of North Carolina at Charlotte,"Charlotte, NC",85%
University of Rhode Island,"Kingston, RI",85%
Virginia Commonwealth University,"Richmond, VA",85%
Belmont University,"Nashville, TN",84%
Biola University,"La Mirada, CA",84%
Clarkson University,"Potsdam, NY",84%
Drake University,"Des Moines, IA",84%
The Master's University and Seminary,"Santa Clarita, CA",84%
Oklahoma State University,"Stillwater, OK",84%
Rowan University,"Glassboro, NJ",84%
San Francisco State University,"San Francisco, CA",84%
Seattle University,"Seattle, WA",84%
Seton Hall University,"South Orange, NJ",84%
Springfield College,"Springfield, MA",84%
University of Alabama at Birmingham,"Birmingham, AL",84%
University of Detroit Mercy,"Detroit, MI",84%
University of North Carolina--Wilmington,"Wilmington, NC",84%
University of Tulsa,"Tulsa, OK",84%
West Chester University of Pennsylvania,"West Chester, PA",84%
Xavier University,"Cincinnati, OH",84%
Adelphi University,"Garden City, NY",83%
Maryville University of St. Louis,"St Louis, MO",83%
Mississippi State University,"Mississippi State, MS",83%
Simmons University,"Boston, MA",83%
Thomas Jefferson University,"Philadelphia, PA",83%
University at Albany--SUNY,"Albany, NY",83%
"University of California, Merced","Merced, CA",83%
University of Massachusetts--Lowell,"Lowell, MA",83%
University of Nebraska -- Lincoln,"Lincoln, NE",83%
William Carey University,"Hattiesburg, MS",83%
East Carolina University,"Greenville, NC",82%
Florida Atlantic University,"Boca Raton, FL",82%
Florida Gulf Coast University,"Fort Myers, FL",82%
Hofstra University,"Hempstead, NY",82%
Illinois State University,"Normal, IL",82%
Immaculata University,"Immaculata, PA",82%
Louisiana Tech University,"Ruston, LA",82%
Misericordia University,"Dallas, PA",82%
Robert Morris University,"Moon Township, PA",82%
St. John's University (NY),"Queens, NY",82%
SUNY College of Environmental Science and Forestry,"Syracuse, NY",82%
Wayne State University,"Detroit, MI",82%
California State University--San Bernardino,"San Bernardino, CA",81%
The College of St. Scholastica,"Duluth, MN",81%
Grand Valley State University,"Allendale, MI",81%
Montclair State University,"Montclair, NJ",81%
Ohio University,"Athens, OH",81%
Rutgers University--Camden,"Camden, NJ",81%
Shenandoah University,"Winchester, VA",81%
South Dakota State University,"Brookings, SD",81%
Southeastern Baptist Theological Seminary,"Wake Forest, NC",81%
University of Findlay,"Findlay, OH",81%
University of North Florida,"Jacksonville, FL",81%
University of San Francisco,"San Francisco, CA",81%
Washington State University,"Pullman, WA",81%
West Virginia University,"Morgantown, WV",81%
California State University--Fresno,"Fresno, CA",80%
Concordia University Wisconsin,"Mequon, WI",80%
DeSales University,"Center Valley, PA",80%
Gannon University,"Erie, PA",80%
George Fox University,"Newberg, OR",80%
Kent State University,"Kent, OH",80%
Liberty University,"Lynchburg, VA",80%
The New School,"New York, NY",80%
Oklahoma City University,"Oklahoma City, OK",80%
St. Ambrose University,"Davenport, IA",80%
St. Catherine University,"St. Paul, MN",80%
Stockton University,"Galloway, NJ",80%
University of Alabama at Huntsville,"Huntsville, AL",80%
University of Illinois--Chicago,"Chicago, IL",80%
University of Nevada--Reno,"Reno, NV",80%
University of North Dakota,"Grand Forks, ND",80%
University of North Texas,"Denton, TX",80%
University of Puerto Rico--Rio Piedras,"Rio Piedras, PR",80%
University of South Dakota,"Vermillion, SD",80%
Valparaiso University,"Valparaiso, IN",80%
Widener University,"Chester, PA",80%
Abilene Christian University,"Abilene, TX",79%
Azusa Pacific University,"Azusa, CA",79%
Bellarmine University,"Louisville, KY",79%
Bowling Green State University,"Bowling Green, OH",79%
Chatham University,"Pittsburgh, PA",79%
CUNY--City College,"New York, NY",79%
Florida Institute of Technology,"Melbourne, FL",79%
Long Island University,"Brookville, NY",79%
Loyola University New Orleans,"New Orleans, LA",79%
Marian University (IN),"Indianapolis, IN",79%
Mississippi College,"Clinton, MS",79%
Pacific University,"Forest Grove, OR",79%
Saint Mary's University of Minnesota,"Winona, MN",79%
University of Hawaii at Manoa,"Honolulu, HI",79%
University of Louisville,"Louisville, KY",79%
The University of Texas--San Antonio,"San Antonio, TX",79%
Arkansas State University,"State University, AR",78%
Boise State University,"Boise, ID",78%
California State University--East Bay,"Hayward, CA",78%
Daemen University,"Amherst, NY",78%
Eastern Kentucky University,"Richmond, KY",78%
Georgia State University,"Atlanta, GA",78%
Gwynedd Mercy University,"Gwynedd Valley, PA",78%
Hampton University,"Hampton, VA",78%
North Carolina Agricultural and Technical State University,"Greensboro, NC",78%
North Dakota State University,"Fargo, ND",78%
Nova Southeastern University,"Ft. Lauderdale, FL",78%
Pontifical Catholic University of Puerto Rico--Arecibo,"Arecibo, PR",78%
Pontifical Catholic University of Puerto Rico--Ponce,"Ponce, PR",78%
Seattle Pacific University,"Seattle, WA",78%
Texas State University,"San Marcos, TX",78%
University of Hartford,"West Hartford, CT",78%
University of La Verne,"La Verne, CA",78%
University of Mary,"Bismarck, ND",78%
University of Nevada--Las Vegas,"Las Vegas, NV",78%
Western Michigan University,"Kalamazoo, MI",78%
Ferris State University,"Big Rapids, MI",77%
Husson University,"Bangor, ME",77%
Kennesaw State University,"Kennesaw, GA",77%
Middle Tennessee State University,"Murfreesboro, TN",77%
Missouri State University,"Springfield, MO",77%
University of Maine,"Orono, ME",77%
University of North Carolina--Greensboro,"Greensboro, NC",77%
The University of Texas--Rio Grande Valley,"Edinburg, TX",77%
University of Wyoming,"Laramie, WY",77%
Western New England University,"Springfield, MA",77%
Winston-Salem State University,"Winston-Salem, NC",77%
Aurora University,"Aurora, IL",76%
Ball State University,"Muncie, IN",76%
Capitol Technology University,"Laurel, MD",76%
Central Michigan University,"Mount Pleasant, MI",76%
D'Youville University,"Buffalo, NY",76%
Gallaudet University,"Washington, DC",76%
Montana State University,"Bozeman, MT",76%
Oakland University,"Rochester, MI",76%
Suffolk University,"Boston, MA",76%
Tennessee Tech University,"Cookeville, TN",76%
University of Lynchburg,"Lynchburg, VA",76%
The University of Toledo,"Toledo, OH",76%
Western Carolina University,"Cullowhee, NC",76%
Western Kentucky University,"Bowling Green, KY",76%
Baker University,"Baldwin City, KS",75%
Campbell University,"Buies Creek, NC",75%
Edgewood College,"Madison, WI",75%
Georgia Southern University,"Statesboro, GA",75%
Marshall University,"Huntington, WV",75%
Marymount University,"Arlington, VA",75%
Northern Arizona University,"Flagstaff, AZ",75%
Northern Kentucky University,"Highland Heights, KY",75%
Oakland City University,"Oakland City, IN",75%
Old Dominion University,"Norfolk, VA",75%
Portland State University,"Portland, OR",75%
Regis University,"Denver, CO",75%
Sam Houston State University,"Huntsville, TX",75%
University of Idaho,"Moscow, ID",75%
University of Louisiana at Lafayette,"Lafayette, LA",75%
University of Memphis,"Memphis, TN",75%
University of Missouri--Kansas City,"Kansas City, MO",75%
University of Montana,"Missoula, MT",75%
University of St. Francis,"Joliet, IL",75%
University of St. Thomas (TX),"Houston, TX",75%
The University of Texas--El Paso,"El Paso, TX",75%
Jackson State University,"Jackson, MS",74%
Kean University,"Union, NJ",74%
